State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Calls,Eve Calls,Night Calls,Intl Calls,CustServ Calls
IN,76,415,363-3911,no,no,0,100,139,105,2,0
VT,165,510,345-1998,no,no,0,126,65,126,0,1
IA,130,415,361-5277,no,no,0,119,99,76,4,1
IN,78,415,376-7145,no,no,0,119,132,120,7,0
AL,55,415,375-2975,yes,no,0,91,110,101,6,1
ME,92,415,376-8573,yes,no,0,113,122,98,2,2
RI,129,415,366-7360,no,yes,33,104,88,175,2,2
MD,18,408,347-7898,no,no,0,93,116,120,4,1
FL,161,415,390-7328,yes,no,0,114,63,115,9,2
CA,93,415,356-5491,no,yes,36,134,102,82,4,2
AL,144,415,373-3251,no,no,0,93,75,118,3,2
ME,75,408,343-1965,yes,no,0,61,119,63,4,4
WV,95,415,378-8019,no,no,0,91,109,95,2,1
SD,126,415,386-1548,no,yes,23,102,103,111,7,3
FL,124,415,397-1649,no,yes,28,104,89,121,5,1
MI,93,415,366-7247,yes,no,0,61,120,110,5,1
MI,109,415,402-9691,yes,yes,26,138,111,76,3,0
NM,80,510,334-9806,no,no,0,97,98,82,12,0
AK,41,415,378-7733,no,no,0,66,75,76,5,1
OH,136,415,407-2248,no,yes,31,88,65,120,5,2
MO,92,415,405-3916,no,no,0,122,88,117,2,3
KS,143,408,407-2081,no,yes,24,69,116,138,5,1
MS,118,415,397-9148,no,yes,26,114,125,98,5,5
VT,193,408,415-4857,no,yes,17,102,81,129,3,1
NE,73,415,354-7314,no,no,0,94,101,87,8,3
VA,62,408,346-5611,no,no,0,101,97,90,8,2
DE,30,415,349-4703,no,yes,30,74,86,104,3,0
AL,60,408,411-7778,yes,yes,29,113,94,82,12,0
ID,148,510,421-1469,no,yes,14,137,72,84,5,1
MS,96,510,420-5990,no,no,0,100,88,120,1,2
OK,52,408,389-4780,no,no,0,68,138,114,4,2
NM,87,415,357-2735,no,no,0,92,100,99,3,1
WI,41,408,409-4791,no,no,0,97,104,92,3,3
WV,112,415,380-5286,no,no,0,108,102,90,2,1
SC,88,510,394-8402,no,no,0,86,82,76,3,4
KY,122,408,392-1616,no,yes,27,84,109,123,5,7
MO,61,408,364-1969,no,no,0,108,74,94,6,2
IL,87,510,390-4152,no,no,0,105,108,136,6,1
OK,176,408,367-7039,no,no,0,125,90,107,8,2
MI,30,510,391-6607,no,no,0,88,100,134,3,0
NJ,95,415,379-6652,no,yes,22,126,90,91,7,0
ID,46,415,384-1833,no,no,0,133,143,72,4,2
DC,100,510,403-2455,yes,no,0,110,115,99,9,0
NY,47,415,391-1348,no,yes,37,77,102,87,4,2
AL,77,415,408-4174,no,no,0,112,89,66,3,2
OR,98,415,366-4334,no,yes,38,61,104,73,5,2
OK,125,415,406-5059,no,yes,36,117,78,104,3,1
LA,67,510,373-6784,no,no,0,97,123,99,10,4
NE,194,408,408-3532,no,no,0,101,138,87,1,1
TX,128,415,350-8680,no,yes,40,88,109,93,6,1
UT,190,415,398-9870,no,yes,22,93,92,102,3,0
OR,165,415,343-3356,no,no,0,126,104,123,8,0
NY,59,408,415-4609,no,no,0,113,125,92,3,2
AL,47,408,404-5387,no,yes,28,94,108,84,2,1
RI,150,415,415-8151,no,yes,29,77,52,113,1,0
MN,152,415,416-2778,yes,yes,20,120,94,80,3,9
NC,26,415,393-3300,no,no,0,109,129,94,6,3
MD,79,510,391-7661,no,yes,31,90,135,92,8,3
RI,95,510,339-4317,no,yes,27,106,90,115,3,1
WI,69,510,418-6455,yes,no,0,90,91,118,10,2
VT,95,510,378-3508,yes,yes,41,91,61,67,9,5
CT,31,415,390-9359,no,yes,31,54,97,131,3,0
OK,121,408,364-2495,no,yes,31,63,117,85,5,4
AK,111,415,364-7719,no,no,0,58,108,104,3,4
NY,157,415,421-1189,no,no,0,111,99,118,2,2
GA,44,510,419-8987,no,no,0,112,92,90,4,3
UT,61,510,402-9980,yes,no,0,103,149,100,6,2
NM,65,415,376-5908,no,no,0,80,94,107,6,2
NE,74,415,400-3150,no,yes,25,84,103,75,2,2
NJ,123,408,336-1749,no,no,0,77,92,120,4,0
TX,58,408,420-1259,no,yes,20,110,89,92,2,1
MT,74,408,339-7541,no,no,0,96,94,123,5,2
CO,125,415,378-9029,no,no,0,97,100,119,6,2
VT,80,415,342-7514,no,no,0,103,109,88,1,1
RI,53,408,422-4956,no,yes,18,107,84,130,7,0
WY,99,408,389-8606,no,yes,28,88,116,102,5,1
ID,99,415,406-7261,no,no,0,106,106,83,5,1
CT,66,415,417-7973,no,yes,29,104,84,119,1,2
ME,97,510,390-2891,no,no,0,76,100,102,4,3
AZ,75,510,385-7387,no,yes,37,97,110,97,5,2
MD,85,510,362-2776,yes,no,0,73,117,98,7,2
IN,108,510,329-1955,no,no,0,88,101,87,6,2
NC,133,408,344-3160,yes,yes,32,137,99,108,4,2
DE,51,510,406-2454,no,no,0,108,87,119,2,1
MN,186,415,335-3913,no,yes,26,107,116,90,3,2
WI,44,415,355-7705,yes,no,0,92,82,108,3,1
FL,64,408,410-7108,no,yes,31,88,109,124,1,3
WV,44,510,419-1674,no,no,0,121,79,77,5,2
SD,114,415,351-7369,no,yes,36,90,89,105,2,1
FL,92,415,349-9566,no,no,0,74,119,80,6,3
OR,110,408,333-3421,no,no,0,112,93,119,4,2
CO,90,408,393-8199,no,yes,30,76,95,124,3,1
CT,72,408,388-4879,no,yes,21,108,86,119,4,1
IN,113,415,353-6007,no,no,0,151,113,116,2,1
PA,171,415,416-1557,no,yes,25,77,118,90,3,3
NM,104,415,356-7217,no,no,0,109,90,117,8,1
ME,165,408,350-2012,no,no,0,75,93,93,2,1
SD,104,510,420-9838,no,no,0,128,92,79,6,0
AR,110,408,373-6379,no,no,0,102,124,108,5,1
TX,90,408,355-7293,yes,no,0,97,134,154,4,1
NH,114,415,406-4588,no,no,0,85,86,124,8,1
OK,101,408,345-1524,no,no,0,118,79,93,11,5
WI,117,408,375-8493,no,yes,14,81,103,102,2,1
AL,109,408,361-2924,no,no,0,105,87,110,4,2
PA,82,408,359-6163,no,no,0,96,137,103,2,1
OK,92,510,411-8140,no,no,0,85,125,107,1,2
ME,82,510,381-9049,no,yes,29,111,137,92,5,2
WV,90,415,344-4478,no,no,0,138,83,104,6,2
HI,87,408,360-2690,no,yes,28,95,97,109,0,1
MN,124,510,410-7383,no,no,0,70,79,98,4,3
NY,39,408,356-1889,no,no,0,68,103,106,5,2
AZ,84,415,341-2360,no,no,0,80,128,101,5,1
OH,75,510,370-3021,no,yes,46,62,111,126,6,0
MI,102,510,336-4656,no,no,0,89,77,140,4,2
MA,62,415,386-2810,yes,no,0,86,76,105,6,0
WV,143,510,350-1354,no,no,0,109,104,71,4,1
MI,53,415,346-5707,no,no,0,95,131,128,6,3
NM,30,415,405-8370,no,no,0,144,118,93,7,1
MO,112,415,373-2053,no,no,0,77,109,132,8,2
RI,129,415,369-5222,no,no,0,119,105,97,8,0
NC,63,415,347-7420,no,yes,29,107,56,91,8,1
WY,28,415,392-6856,no,no,0,94,86,124,5,0
WY,111,415,371-5556,no,no,0,55,83,116,3,3
PA,91,510,334-5337,no,no,0,120,106,129,7,3
KY,90,415,334-8817,no,no,0,83,79,60,3,1
OR,151,510,339-1405,no,no,0,108,118,141,6,4
NV,105,415,380-7742,yes,yes,29,82,110,100,6,1
DC,41,408,329-6191,no,yes,37,110,115,100,1,2
UT,48,510,340-3075,no,yes,43,111,64,96,5,1
WA,166,408,416-5849,yes,yes,35,138,113,130,7,2
FL,79,510,334-7443,no,no,0,119,121,140,6,3
VA,153,510,394-9121,no,no,0,107,96,97,6,1
KS,110,415,383-1657,yes,no,0,79,90,91,4,0
KS,163,415,347-4112,no,no,0,89,87,121,4,1
DC,126,510,362-8280,no,no,0,88,111,106,3,1
ME,105,408,402-9982,no,yes,33,68,140,131,3,2
LA,172,415,392-8905,no,no,0,140,84,83,1,3
DC,126,415,392-5512,no,no,0,110,125,78,2,0
TX,97,510,351-6384,no,no,0,91,137,72,4,3
NJ,95,408,348-8015,yes,yes,37,109,99,82,2,0
DE,87,510,374-6966,no,no,0,105,102,80,2,4
VT,97,415,328-2236,no,no,0,119,109,76,5,1
GA,76,415,372-6497,no,no,0,125,92,134,4,0
TX,140,408,417-8617,no,no,0,107,99,93,4,0
MT,169,415,361-9621,no,no,0,112,69,95,2,0
ND,68,408,421-2723,no,yes,22,97,94,114,4,3
NJ,122,415,327-9341,no,yes,34,104,103,91,4,2
MO,36,408,383-5474,no,no,0,129,87,102,6,2
CO,120,510,328-8147,no,yes,27,84,73,94,7,5
KS,121,408,373-5438,no,no,0,105,133,116,15,1
NC,64,408,333-9253,no,yes,19,106,92,118,3,0
MT,13,415,347-9421,no,yes,31,94,95,117,1,1
DE,106,415,419-3167,no,no,0,83,114,113,2,0
ND,88,415,414-4162,no,no,0,92,108,95,4,2
VA,74,408,416-5341,no,no,0,120,106,102,3,1
IL,83,415,368-8600,no,no,0,92,83,92,13,0
OK,49,415,336-6085,no,no,0,79,93,128,7,0
CO,111,510,377-1479,no,yes,24,114,99,95,4,1
MT,50,415,360-2107,no,yes,22,112,99,146,4,3
WV,153,408,405-9384,no,yes,28,74,37,103,9,0
ME,88,415,420-5179,no,no,0,91,127,125,5,1
WI,131,415,331-3174,no,yes,39,122,136,94,4,0
MO,79,408,411-5958,no,no,0,97,48,83,3,3
NY,140,415,333-8180,no,no,0,81,130,111,4,2
CT,105,408,357-2679,no,no,0,100,52,93,6,1
AR,54,415,396-2867,no,yes,39,143,72,120,1,3
WY,87,415,341-9443,no,yes,22,65,115,109,3,3
CA,96,510,341-4103,no,yes,31,126,106,93,5,1
CA,79,510,416-8701,no,no,0,85,92,86,10,5
MN,55,415,397-6109,no,no,0,147,118,55,4,0
AK,130,415,392-5587,no,no,0,101,114,89,2,2
VA,34,415,392-9342,no,no,0,102,101,86,7,0
CO,139,415,368-2845,no,no,0,103,100,63,2,1
MT,109,408,405-4920,no,no,0,69,120,86,9,1
SD,65,408,348-7484,no,yes,31,70,89,93,4,1
NE,63,415,338-5207,no,no,0,80,93,58,2,0
VT,152,415,418-7846,no,no,0,126,76,100,4,3
ND,147,408,358-8729,no,no,0,95,128,84,4,1
GA,112,415,349-1943,no,yes,22,110,123,141,4,2
OR,120,415,368-8283,no,no,0,120,106,96,1,2
MT,27,510,345-1419,no,no,0,102,104,124,3,0
WY,171,415,358-8025,no,no,0,135,74,124,1,1
GA,101,415,383-8695,no,yes,33,108,122,90,4,0
WV,32,408,370-7565,no,yes,26,109,107,98,4,1
CT,3,415,401-6162,no,yes,36,117,125,89,6,2
IL,151,408,386-5303,no,no,0,106,87,88,5,0
CO,60,408,351-6552,no,no,0,99,62,79,3,3
DE,119,415,345-5338,no,no,0,90,81,77,15,1
LA,43,415,330-2849,no,no,0,101,121,104,3,1
MA,42,408,364-6801,no,no,0,134,114,91,4,0
IN,84,408,375-3003,no,no,0,99,68,120,4,1
NY,65,510,383-8878,no,no,0,110,109,105,4,0
TX,75,415,384-2372,yes,no,0,78,111,104,9,1
KS,116,510,377-7107,no,no,0,90,118,83,2,1
WV,107,415,361-1581,no,no,0,100,82,82,5,0
NE,189,415,417-7888,no,yes,38,98,120,87,3,3
ND,123,408,383-8364,no,no,0,94,119,120,1,1
AK,110,408,396-2335,no,no,0,90,93,57,8,3
CO,63,415,408-4530,no,yes,32,113,113,101,7,1
ME,176,415,408-6621,no,no,0,76,131,80,2,3
SC,108,510,393-7522,no,no,0,101,126,107,8,1
MN,13,510,338-7120,no,yes,21,105,71,123,3,3
CO,71,415,357-4265,no,no,0,104,121,101,2,1
KS,88,415,398-8801,no,no,0,111,101,111,3,2
MS,137,510,346-2347,no,no,0,119,91,105,4,1
NE,82,408,343-2741,no,no,0,36,134,104,7,4
NJ,92,510,420-8242,no,yes,29,110,104,118,4,3
WI,165,510,402-7746,no,no,0,91,108,99,4,6
MT,96,415,332-1494,no,no,0,98,118,105,9,1
AR,156,415,388-6223,no,no,0,94,97,77,3,1
WA,63,408,404-9539,no,no,0,104,75,72,4,0
NH,37,415,341-7332,no,no,0,89,88,86,11,0
IA,98,415,338-7886,no,no,0,86,114,79,9,0
WV,121,415,332-5596,no,no,0,110,82,113,3,0
RI,94,415,348-9945,no,no,0,95,92,129,3,0
KS,99,415,407-1896,no,no,0,110,102,114,3,1
MT,163,510,398-9408,no,yes,23,104,64,118,7,1
MO,161,510,369-8005,no,no,0,95,82,113,4,3
HI,99,415,346-2530,no,no,0,81,64,121,5,1
CO,108,415,400-5984,no,no,0,78,119,65,5,1
CT,84,510,351-1007,no,yes,42,97,118,72,7,3
ID,83,415,345-5980,yes,yes,32,111,98,109,6,2
DC,139,510,368-8964,no,no,0,81,99,76,3,2
TN,69,510,358-1912,no,no,0,70,108,119,4,3
WY,129,510,379-3132,no,no,0,114,98,86,8,4
MO,106,415,340-9910,no,no,0,104,101,78,0,2
VA,158,415,396-2719,no,no,0,101,128,106,2,2
SD,168,415,369-6204,no,yes,22,70,105,81,5,2
WV,115,510,420-9971,yes,no,0,95,104,121,6,1
GA,57,408,410-3782,yes,yes,30,130,116,94,4,2
AZ,67,415,404-4481,no,no,0,116,86,83,6,1
AK,127,408,383-9255,no,no,0,124,110,116,3,1
AK,78,510,418-9385,no,no,0,88,89,109,5,2
CT,100,415,360-9676,no,yes,38,88,108,72,2,0
UT,103,510,327-3587,no,yes,36,92,110,80,5,6
KY,113,415,385-4715,no,no,0,96,127,115,3,1
MI,78,510,414-2695,no,no,0,109,49,136,11,3
OR,129,510,331-5999,no,yes,36,103,83,118,5,1
TN,57,510,337-7739,no,no,0,100,110,101,3,2
WV,82,408,388-6658,no,no,0,116,99,95,5,1
NJ,64,415,405-6943,no,no,0,111,101,110,2,1
MS,86,510,382-4084,no,yes,39,122,101,101,5,2
ME,151,415,352-8249,no,yes,26,98,111,124,5,0
WY,94,510,353-8363,no,no,0,105,105,51,3,3
WY,90,415,416-2825,no,no,0,121,104,103,1,2
IN,48,510,342-6696,no,no,0,94,103,94,5,2
NM,85,408,338-9210,no,yes,37,123,90,76,8,2
NJ,93,415,328-1768,yes,yes,20,110,94,127,4,1
DC,169,415,406-5870,yes,no,0,98,78,103,6,3
UT,68,415,398-3834,no,no,0,86,86,87,9,5
KY,91,415,330-7754,yes,no,0,89,102,151,3,2
KS,68,510,414-9054,no,no,0,123,93,76,3,1
MI,101,510,350-2832,no,no,0,72,103,111,8,1
UT,67,510,414-9027,no,yes,20,40,58,115,2,1
NE,66,415,337-1225,no,no,0,133,61,120,3,0
FL,116,415,394-6577,no,yes,17,112,131,98,3,5
LA,158,408,359-6995,no,no,0,126,86,84,6,1
MT,78,415,377-7561,no,no,0,122,88,86,5,1
WA,119,415,380-6631,no,yes,26,97,110,92,8,1
MI,120,415,390-8876,no,no,0,85,128,123,2,1
KY,155,510,413-2201,no,no,0,102,117,122,1,1
LA,106,408,374-2073,no,no,0,120,95,113,5,1
NM,87,510,417-1272,yes,no,0,119,119,88,6,1
AL,146,415,358-1129,no,yes,32,80,91,107,4,3
MO,101,415,394-1211,no,yes,29,116,100,75,6,0
CO,22,510,327-1319,no,yes,23,94,59,102,4,3
TX,90,415,399-4413,no,no,0,88,108,121,5,2
NY,41,415,393-9985,no,no,0,105,105,104,4,1
OR,69,415,401-8377,no,no,0,76,92,103,4,2
WY,33,415,331-3202,no,no,0,88,119,71,14,2
UT,112,415,358-5953,no,no,0,108,111,78,5,1
LA,108,510,380-7624,no,yes,30,99,113,95,6,2
NV,136,415,416-5261,no,yes,21,88,97,120,4,2
NC,128,510,417-5067,no,no,0,84,95,68,5,1
NC,27,408,345-6515,no,no,0,128,100,91,3,2
WY,161,415,406-1349,yes,no,0,78,117,137,6,1
TN,33,415,360-9038,no,yes,35,124,69,103,5,0
FL,120,415,348-3444,no,yes,31,83,96,76,4,0
CA,113,415,370-2892,no,no,0,97,118,101,6,2
PA,122,415,383-4061,yes,no,0,132,99,57,2,0
WV,148,415,391-7937,no,yes,26,150,138,91,4,2
NJ,74,415,389-4083,no,no,0,93,78,101,2,3
MT,106,415,410-9633,no,no,0,104,117,81,3,1
MN,179,415,418-9502,no,no,0,54,108,107,4,1
WI,149,415,339-6637,yes,yes,28,97,102,77,3,5
ID,77,510,356-3403,no,no,0,112,95,91,7,0
MA,127,408,371-9457,yes,no,0,110,100,138,2,1
OR,80,415,391-8087,no,no,0,99,81,116,4,1
MT,106,510,392-6420,no,no,0,107,71,79,4,1
AL,61,415,399-4094,no,yes,20,133,96,91,4,0
ND,135,510,378-4013,yes,yes,24,54,105,84,4,2
LA,115,415,386-6306,no,yes,26,107,77,71,5,6
ND,167,408,359-3618,yes,no,0,100,90,101,4,2
MS,107,510,340-8875,yes,no,0,104,68,67,9,2
WV,112,415,330-2693,yes,no,0,138,114,134,4,1
WI,35,510,403-7627,no,yes,27,87,101,68,4,1
KS,103,408,342-3678,yes,no,0,124,66,78,4,3
MO,107,415,344-9943,no,yes,22,83,130,128,9,1
PA,69,415,390-5686,no,no,0,70,80,60,5,3
SD,85,408,358-5826,no,no,0,82,94,85,3,0
NJ,24,408,393-7826,no,no,0,86,102,105,6,2
AL,90,415,335-9786,no,no,0,97,117,78,2,2
ME,137,510,368-9860,no,no,0,79,111,64,3,3
AZ,92,415,416-9522,yes,yes,45,88,103,76,3,0
VT,38,415,416-7307,no,no,0,86,76,77,3,2
NV,69,510,397-6789,yes,yes,33,98,102,85,2,1
WI,45,408,335-9501,no,no,0,108,120,106,3,2
HI,73,408,388-1250,no,no,0,118,90,108,2,1
DE,92,415,386-1374,no,no,0,84,105,105,4,1
AZ,113,415,346-8112,no,yes,32,89,124,124,2,1
VA,68,408,364-9040,yes,no,0,126,125,121,7,1
GA,135,415,366-3944,no,yes,22,113,95,135,5,2
AZ,100,415,331-9861,no,yes,26,115,146,104,5,1
MN,96,415,330-2881,no,yes,27,96,101,97,2,1
ME,108,510,402-9558,no,no,0,102,134,95,5,1
FL,84,510,341-3180,no,no,0,88,119,79,4,0
WA,134,408,371-8598,no,no,0,86,89,86,3,1
MT,72,415,398-8385,no,no,0,73,78,89,4,0
AL,83,408,333-4154,no,no,0,87,111,82,4,0
WV,137,408,330-3589,no,no,0,120,98,121,5,0
GA,56,415,417-1477,no,yes,30,89,116,111,3,1
OH,61,510,327-5525,yes,yes,16,76,58,95,3,0
DE,171,510,363-8244,no,yes,17,94,138,64,3,1
NE,123,510,419-9104,no,no,0,118,114,108,4,1
FL,58,510,363-1560,no,no,0,89,131,122,6,0
AK,156,510,341-4075,no,no,0,96,80,82,4,1
WI,166,510,366-9074,no,no,0,103,83,113,5,0
WA,75,510,367-1424,no,yes,41,115,110,68,4,1
KY,75,415,341-1191,no,no,0,102,86,100,3,2
OH,83,510,342-9480,no,no,0,78,115,100,5,1
UT,243,510,355-9360,no,no,0,92,63,118,6,2
NM,153,408,343-1538,no,no,0,127,73,124,3,1
MN,150,415,335-2331,no,no,0,133,95,103,3,1
WV,92,510,335-7257,no,yes,16,99,134,96,3,2
MN,80,415,332-2137,no,no,0,110,88,87,5,0
AL,134,415,352-2998,no,no,0,110,64,105,4,1
PA,77,510,346-6941,no,yes,24,74,72,84,6,1
DE,147,510,400-2203,no,no,0,104,78,123,3,2
MO,74,415,421-2955,no,no,0,105,99,105,6,1
IL,138,510,331-6629,yes,no,0,82,147,77,9,1
FL,143,415,343-6314,no,no,0,117,136,100,4,0
HI,64,415,414-6638,no,no,0,147,87,114,2,2
ME,120,510,350-5883,no,no,0,56,73,81,3,2
CO,121,408,409-4447,yes,no,0,94,121,115,1,3
NH,88,415,376-4856,no,no,0,86,93,99,2,2
SC,87,408,335-1874,no,no,0,106,93,128,4,2
IN,100,510,397-6255,no,no,0,107,84,127,3,0
FL,104,415,381-5047,no,no,0,116,74,94,3,3
GA,27,510,403-6850,no,no,0,75,117,71,3,1
IL,81,415,375-3658,no,yes,31,100,97,120,4,0
NC,64,510,341-2603,yes,yes,33,93,104,109,13,0
VT,107,510,342-5062,no,yes,28,79,128,133,8,1
DC,88,415,354-1558,no,yes,17,78,94,92,5,1
VT,111,408,351-9537,no,no,0,112,136,94,6,3
NV,77,415,401-1252,no,no,0,114,115,81,2,5
OR,67,415,366-9538,yes,no,0,58,88,130,11,2
AL,102,408,364-7622,no,no,0,81,112,109,6,1
ND,146,408,393-9918,no,yes,19,88,66,98,6,1
FL,144,415,376-4484,no,yes,51,98,109,85,4,1
NE,96,415,410-6791,no,no,0,92,114,125,4,1
ND,70,415,343-2392,no,yes,31,101,102,75,4,1
ME,149,408,408-4323,no,no,0,79,107,111,9,0
IL,129,415,395-1718,no,no,0,91,106,101,2,2
WA,166,408,354-9492,no,no,0,110,109,119,5,0
MA,136,408,367-8168,yes,no,0,89,96,84,4,3
KS,149,510,340-3500,no,no,0,91,74,99,3,3
RI,70,415,369-4962,no,no,0,96,90,113,6,3
MO,120,415,334-8967,no,yes,24,73,103,119,13,2
IA,66,510,402-2377,no,no,0,135,106,135,7,2
WY,104,408,366-3917,no,no,0,133,98,112,2,1
NV,160,415,333-3531,no,no,0,90,115,95,4,1
WI,129,415,333-8954,no,yes,37,94,103,81,8,1
AL,93,408,374-9203,no,no,0,114,74,90,3,3
HI,169,415,334-3289,no,no,0,111,130,92,6,2
MO,58,415,353-7822,no,no,0,145,105,108,3,1
CA,75,510,350-1422,no,yes,38,132,113,115,3,3
MO,45,408,385-8406,no,no,0,71,94,125,13,1
CT,155,510,380-7277,no,no,0,108,103,108,4,3
MD,52,415,352-1798,no,no,0,114,82,119,9,4
OH,119,415,385-7922,no,yes,27,128,133,80,3,0
NV,86,510,353-7730,no,no,0,72,95,91,5,1
MD,42,408,337-7163,no,no,0,89,123,105,7,0
NE,127,510,348-5567,yes,no,0,114,118,105,4,2
OH,123,408,420-9575,no,no,0,150,90,93,5,0
MA,98,510,366-3358,no,no,0,119,102,118,6,4
OK,149,510,359-9972,no,yes,43,79,122,80,3,1
MA,160,408,387-3332,no,no,0,109,117,77,1,1
WA,103,415,354-6960,no,no,0,107,102,106,3,5
HI,132,415,405-3335,no,yes,15,128,106,90,4,1
CO,137,415,379-4257,no,no,0,107,75,127,2,1
FL,129,415,355-4992,yes,no,0,78,85,146,4,1
WI,62,415,383-6373,no,no,0,66,108,74,0,1
ID,122,510,382-7993,no,yes,33,96,110,104,8,4
WY,32,408,422-5865,no,no,0,82,102,64,7,1
GA,86,510,410-9961,no,no,0,82,120,119,8,3
FL,130,415,343-9946,no,no,0,113,111,140,3,1
WY,42,408,357-7060,no,no,0,84,113,117,12,1
DE,73,415,355-9541,no,no,0,85,80,102,7,2
ME,66,408,378-4145,no,yes,26,108,135,95,3,2
DC,103,510,386-2317,no,yes,31,124,104,98,3,0
IA,128,408,335-8146,no,no,0,75,91,77,7,1
CO,104,415,377-2235,no,no,0,113,85,104,4,2
MN,103,415,386-9141,no,no,0,112,90,124,5,0
VT,124,415,416-5623,no,no,0,72,134,91,2,0
AZ,87,510,327-3053,no,no,0,91,115,131,5,1
LA,109,415,395-6195,no,yes,27,85,92,97,4,1
MO,167,415,397-8772,yes,no,0,91,105,110,3,2
ME,97,510,346-7656,no,no,0,96,101,63,3,4
MD,106,415,343-2350,no,no,0,118,101,93,3,2
VT,125,415,372-4722,no,no,0,113,131,112,7,2
DC,108,408,399-8615,no,yes,35,106,107,107,7,0
WY,125,415,379-8248,no,no,0,132,126,77,2,1
VA,89,415,414-6219,no,yes,32,113,104,92,7,1
VA,72,510,387-1343,yes,yes,29,114,91,88,6,0
CT,23,510,370-5527,no,no,0,107,115,158,3,2
HI,149,510,393-8736,no,no,0,61,107,131,6,7
WI,73,415,402-7626,no,no,0,90,78,112,8,0
MD,61,415,370-2688,no,no,0,123,127,70,3,1
WV,161,415,418-9036,no,no,0,113,87,107,4,4
VT,73,408,417-2035,no,no,0,95,104,89,3,0
UT,118,415,355-3602,no,yes,24,83,72,73,2,1
CO,23,408,393-4027,no,no,0,89,108,73,4,6
NC,127,415,418-5141,no,yes,25,95,109,104,6,0
NJ,42,415,406-1247,no,yes,32,80,123,106,5,0
AR,118,415,402-3892,no,no,0,145,121,91,11,5
IA,45,510,332-2965,no,no,0,91,86,93,3,2
GA,50,408,377-1218,no,yes,24,129,55,130,4,1
MO,179,510,355-2464,no,no,0,123,114,112,4,0
MO,152,408,404-4611,no,no,0,122,87,124,3,2
WY,105,415,373-2339,no,no,0,74,125,113,5,2
HI,72,415,410-3503,no,no,0,97,96,84,6,0
PA,52,408,410-4739,no,no,0,67,108,130,2,1
TX,125,415,365-3562,no,no,0,110,97,113,4,1
VA,143,510,387-7641,no,no,0,113,59,94,2,1
RI,65,415,385-9744,no,no,0,51,84,89,14,1
WI,80,415,398-5006,no,no,0,121,51,106,5,1
MS,1,415,408-3977,no,no,0,107,66,79,3,1
KY,60,408,334-2729,no,no,0,134,85,103,4,1
NC,43,415,334-7685,no,no,0,134,103,79,2,1
NV,143,415,350-9228,no,no,0,127,80,90,6,0
UT,81,415,407-5774,no,yes,24,117,61,123,5,0
ME,205,510,413-4039,no,yes,24,139,98,64,5,2
HI,24,415,343-2077,no,no,0,104,112,105,5,1
OH,74,415,336-5661,no,no,0,106,105,114,4,0
WV,77,510,355-4143,no,no,0,68,86,137,2,1
OK,74,415,366-5918,no,no,0,87,105,118,2,1
KY,74,510,368-7555,yes,no,0,103,96,143,4,1
AL,200,408,408-2119,no,no,0,87,105,123,2,1
MD,86,408,329-2789,no,no,0,88,107,92,3,4
NE,91,510,334-1508,no,yes,37,107,115,94,4,0
DC,76,415,337-1506,no,no,0,121,97,74,2,2
TX,130,415,396-8400,no,no,0,127,52,107,2,1
OH,56,408,349-2654,no,no,0,90,115,89,8,2
DE,117,415,417-2716,no,no,0,137,107,106,4,0
IA,63,510,402-1725,no,no,0,81,115,85,5,2
VT,126,415,403-3229,no,no,0,88,114,110,2,0
OR,132,510,353-6056,no,no,0,107,127,88,2,1
NV,81,415,399-9802,no,yes,28,147,105,103,6,4
NC,122,415,366-7069,no,no,0,88,77,120,6,2
NJ,46,408,332-5949,no,no,0,67,91,107,5,2
MN,150,415,393-6376,no,yes,28,75,80,130,4,1
ID,99,408,354-7025,no,no,0,83,121,114,3,1
AL,87,408,351-6585,no,no,0,124,87,81,3,1
AK,108,415,330-5462,no,no,0,129,103,89,3,1
VT,101,415,407-2292,no,no,0,89,89,77,2,4
PA,53,415,340-3011,no,no,0,86,95,142,2,3
AK,132,415,345-9153,no,yes,39,93,94,118,3,2
CA,158,510,379-5503,no,no,0,123,112,116,8,2
MS,114,415,389-6790,no,yes,34,109,142,103,5,0
AR,77,415,408-3610,no,yes,23,73,63,111,3,2
NV,144,415,375-8238,yes,no,0,69,73,121,15,0
AL,91,510,378-5633,no,yes,23,97,88,128,3,3
GA,58,408,389-9120,no,no,0,100,87,118,5,2
AR,5,415,380-2758,no,no,0,106,12,85,3,3
MA,97,408,402-2728,no,no,0,81,51,110,3,0
NJ,107,415,354-9062,no,no,0,95,88,111,2,3
MO,142,415,417-2054,no,yes,30,75,97,83,5,1
NY,9,408,353-1941,no,yes,31,130,98,102,2,1
AZ,73,415,328-1522,no,no,0,130,105,85,4,0
NJ,48,510,408-4529,no,yes,22,63,131,109,5,2
WV,43,408,417-5320,no,no,0,147,121,100,3,0
NM,122,408,370-9755,no,yes,33,103,105,116,3,1
SC,93,415,372-4835,no,no,0,68,64,92,4,0
VT,85,415,334-6605,no,no,0,122,123,50,1,1
TN,59,415,399-5564,no,no,0,95,65,97,5,3
LA,87,415,392-2887,no,no,0,90,99,90,3,1
OH,137,408,328-2110,no,no,0,90,100,93,2,0
OR,21,510,383-5976,no,yes,31,90,84,89,7,6
DE,129,510,332-6181,no,no,0,118,104,83,6,0
